,Timestamp,Predict
0,2024-09-16 05:20:02,49.45
1,2024-09-16 05:30:02,49.45
2,2024-09-16 05:40:02,49.45
3,2024-09-16 05:50:02,49.45
4,2024-09-16 06:00:02,49.55
5,2024-09-16 06:10:01,49.55
6,2024-09-16 06:20:02,49.55
7,2024-09-16 06:30:02,49.65
8,2024-09-16 06:40:01,49.65
9,2024-09-16 06:50:02,49.65
10,2024-09-16 07:00:02,49.75
11,2024-09-16 07:10:02,49.65
12,2024-09-16 07:20:02,49.65
13,2024-09-16 07:30:02,49.65
14,2024-09-16 07:40:02,49.6
15,2024-09-16 07:50:02,49.6
16,2024-09-16 08:00:02,49.65
17,2024-09-16 08:10:02,49.6
18,2024-09-16 08:20:02,49.65
19,2024-09-16 08:30:02,49.7
20,2024-09-16 08:40:02,49.7
21,2024-09-16 08:50:02,49.65
22,2024-09-16 09:00:02,49.7
23,2024-09-16 09:10:02,49.75
24,2024-09-16 09:20:02,49.7
25,2024-09-16 09:30:02,49.65
26,2024-09-16 09:40:02,49.65
27,2024-09-16 09:50:02,49.75
28,2024-09-16 10:00:02,49.75
29,2024-09-16 10:10:02,49.75
30,2024-09-16 10:20:02,49.75
31,2024-09-16 10:30:02,49.75
32,2024-09-16 10:40:02,49.75
33,2024-09-16 10:50:02,49.75
34,2024-09-16 11:00:02,49.75
35,2024-09-16 11:10:02,49.6
36,2024-09-16 11:20:02,49.65
37,2024-09-16 11:30:02,49.65
38,2024-09-16 11:40:02,49.65
39,2024-09-16 11:50:02,49.65
40,2024-09-16 12:00:02,49.65
41,2024-09-16 12:10:01,49.65
42,2024-09-16 12:20:01,49.65
43,2024-09-16 12:30:02,49.65
44,2024-09-16 12:40:02,49.65
45,2024-09-16 12:50:02,49.65
46,2024-09-16 13:00:02,49.65
47,2024-09-16 13:10:02,49.65
48,2024-09-16 13:20:01,49.65
49,2024-09-16 13:30:02,49.7
50,2024-09-16 13:40:02,49.65
51,2024-09-16 13:50:02,49.65
52,2024-09-16 14:00:02,49.65
53,2024-09-16 14:10:02,49.65
54,2024-09-16 14:20:02,49.65
55,2024-09-16 14:30:02,49.65
56,2024-09-16 14:40:02,49.65
57,2024-09-16 14:50:02,49.75
58,2024-09-16 15:00:02,49.75
59,2024-09-16 15:10:02,49.65
60,2024-09-16 15:20:02,49.65
61,2024-09-16 15:30:02,49.65
62,2024-09-16 15:40:02,49.55
63,2024-09-16 15:50:02,49.55
